,Date,User_Id,Message,NumberOfPastPosts,Role
0,"
September 2001 ",pat,"
Need help choosing your next vehicle? Tell us your price range, are you thinking New or Used, buying or leasing, what features are must-haves, what other thoughts are on your mind, and let us give you a hand! Tell us your criteria as specifically as you can.You'll find lots of helpful folks here who can give you useful suggestions. ","Posts: 10,421",Member
1,"
September 2001 ",willow25,"
I'm buying a ""new"" car by the end of the year and my first choice is a Nissan Maxima. I've read that they are very reliable and hold their value well. My budget is probably going to allow for a 98-99 and I was wondering if it's worth buying a car that's almost 3-4 years old. Any suggestions or comments would help a lot.willow25 ",Posts: 2,Member
2,"
October 2001 ",dindak,"
Buy a 2001/ 2002 Oldsmobile Intrigue. It's one of the best sedans on the market with great handling and one of the best V6 engines around, a 3.5L DOHC producing 215HP. The deals should be great this year as it's the last on for Intrigue and the warrany on them has been extended to 5 years. The car is recommended by most magazines (including Consumer Reports), but is unfortunately over looked by most consumers. It is the sleeper of all sleepers on the market in my opinion. ","Posts: 6,632",Member
3,"
October 2001 ",peteri1,"
Am looking at 1 of 4 choices to replace my 99GS400. I've read everything here and on other forums and have seen much conflicting info:4 options:Lexus LS430 with custom/luxury packageInfiniti Q45 with premium pckgAudi A-6 4.2 loaded Audi A-8 not stripped, but not loadedChicago winters--had Blizzaks on the GS--worked fine. My 95Q was pig in snow, but I'm sure 2002Q is a world away from that. I've heard Audi has some QC problems, but I like their maintenance being included. I'm a happy Lexus driver. The Q appears to offer the most for the $$. Will lease and in this economy, I would think I could command an attractive package. Can I go wrong with any of the 4? Am I missing something? ",Posts: 21,Member
4,"
October 2001 ",mrdetailer,"
Generally a 3-4 year old car range is a good one because they are basically sound. If possible get one that is still under warrenty. But if not, make sure that a trusted Maxima mechanic goes over it thoroughly. Their V-6 is one of the best rated for over 10 years. Personally I am amazed at the great strides in American Quality recently, so the Olds may not be a bad idea other. ","Posts: 1,118",Member
5,"
October 2001 ",dindak,"
Maxima and Intrigue are both excellent choices for midsize sedans. ","Posts: 6,632",Member
6,"
October 2001 ",canadiancl,"
If I had that kind of budget, I would go for the A6 4.2 - - best combination of sport and luxury amongst the 4 choices. ","Posts: 1,078",Member
7,"
October 2001 ",qbrozen,"
Actually, I was about to agree with the A6, but I just looked at the specs here on Edmunds. Both the A6 and A8 are 4000 lbs, and considering the A8 gets a bump in HP over the A6, I don't think performance difference is an issue. So, considering that and the fact that the A6 would possibly be to small for you based on the rest of your list, I say go for the A8. I think you'll find the AWD to be the best addition to a car you could ever have hoped for. ","Posts: 30,400",Member
8,"
October 2001 ",black_tulip,"
I'd pass Intrigue only for one reason: crash test results are terrible... ",Posts: 438,Member
9,"
October 2001 ",paulo3,"
I would recommend the Honda Accord or Toyota Camry as my choices for a sedan. The new Nissan Altima looks impressive but I would wait until the reliability of the 2002 is proven.The new BMW 525 is another nice car and is rated highly by many auto publications. ",Posts: 113,Member
