word,freq,attribute_flg,attribute_synonym,positive_indicator
price,737,1,affordability,0
money,338,1,affordability,0
lease,311,1,affordability,0
value,273,1,affordability,0
cost,270,1,affordability,0
worth,198,1,affordability,0
maintenance,176,1,affordability,0
expensive,158,1,affordability,0
resale,157,1,affordability,0
budget,150,1,affordability,0
cheap,147,1,affordability,0
repairs,121,1,affordability,0
insurance,119,1,affordability,0
prices,115,1,affordability,0
repair,103,1,affordability,0
cheaper,95,1,affordability,0
financing,91,1,affordability,0
cpo,88,1,affordability,0
leasing,63,1,affordability,0
depreciation,61,1,affordability,0
payments,60,1,affordability,0
afford,57,1,affordability,0
inexpensive,32,1,affordability,1
leased,32,1,affordability,0
bargain,26,1,affordability,0
pricing,26,1,affordability,0
depreciate,23,1,affordability,0
prix,22,1,affordability,0
economical,21,1,affordability,1
preowned,21,1,affordability,0
overpriced,19,1,affordability,0
expense,11,1,affordability,0
premiums,7,1,affordability,0
affordability,6,1,affordability,0
worthless,3,1,affordability,0
bargains,3,1,affordability,0
inflated,3,1,affordability,0
penny,3,1,affordability,0
lowcost,3,1,affordability,0
cheapness,3,1,affordability,0
outofpocket,3,1,affordability,0
warranty,354,1,affordability,0
offroad,10,1,driveability,0
awd,191,1,driveability,0
handling,166,1,driveability,0
steering,116,1,driveability,0
control,116,1,driveability,0
fwd,65,1,driveability,0
smooth,62,1,driveability,1
rwd,58,1,driveability,0
traction,58,1,driveability,0
handles,50,1,driveability,0
handle,45,1,driveability,0
solid,42,1,driveability,1
4wd,30,1,driveability,0
stability,27,1,driveability,0
lag,18,1,driveability,0
gps,8,1,driveability,0
cruising,7,1,driveability,0
driveability,4,1,driveability,0
slipping,4,1,driveability,0
tricky,3,1,driveability,0
vision,3,1,driveability,0
sturdy,3,1,driveability,0
gently,3,1,driveability,0
flawless,3,1,driveability,1
portable,3,1,driveability,0
slippery,3,1,driveability,0
responsive,10,1,driveability,1
brakes,67,1,driveability,0
brake,55,1,driveability,0
abs,60,1,driveability,0
braking,10,1,driveability,0
tires,224,1,driveability,0
direction,11,1,driveability,0
engine,454,1,engine,0
v6,342,1,engine,0
cylinder,122,1,engine,0
cvt,118,1,engine,0
engines,85,1,engine,0
powertrain,51,1,engine,0
v8,47,1,engine,0
4cyl,47,1,engine,0
tdi,37,1,engine,0
motor,36,1,engine,0
4cylinder,30,1,engine,0
rpm,21,1,engine,0
electronics,11,1,engine,0
ignition,7,1,engine,0
batteries,8,1,engine,0
compression,7,1,engine,0
cylinders,10,1,engine,0
performance,167,1,performance,0
sport,140,1,performance,0
accelerate,9,1,performance,0
lowmileage,8,1,performance,0
topoftheline,5,1,performance,0
responsiveness,5,1,performance,0
performing,4,1,performance,0
sporty,98,1,performance,1
accelerator,6,1,power,0
hp,108,1,power,0
powerful,45,1,power,1
turbo,83,1,power,0
mph,29,1,power,0
speed,89,1,power,0
fast,70,1,power,1
acceleration,52,1,power,0
aggressively,3,1,power,0
accellerate,3,1,power,0
accelerating,3,1,power,0
brutal,3,1,power,0
hefty,3,1,power,0
190hp,3,1,power,0
turbos,3,1,power,0
accelerates,3,1,power,0
power,320,1,power,0
reliablity,6,1,reliable,0
reliability,442,1,reliable,0
reliable,356,1,reliable,1
qualifications,3,1,reliable,0
reliabilitydependability,3,1,reliable,1
qualified,3,1,reliable,1
wellqualified,3,1,reliable,1
liability,3,1,reliable,0
quality,193,1,reliable,0
security,10,1,safety,0
safety,156,1,safety,0
airbags,57,1,safety,0
